No;MCMCglmm_family;MCMCglmm_PO;plate
345;F35;1.445060764;3
346;F35;1.17998149;3
347;F35;1.393609053;3
348;F35;1.310204051;3
349;F35;1.222385117;3
350;F35;1.431344861;6
351;F35;1.329751836;6
352;F35;1.248609525;6
353;F35;1.230814209;6
354;F35;0.906373392;6
355;F35;1.176692051;6
356;F36;1.229688934;3
357;F36;1.178787035;3
358;F36;1.117952649;3
359;F36;1.195214048;3
360;F36;1.017815068;3
361;F36;1.294272329;3
362;F36;1.126105785;6
363;F36;1.07078964;6
364;F36;1.306776795;6
365;F36;1.530995865;6
366;F36;0.864109315;6
367;F36;1.113442401;6
368;F37;0.792442392;3
369;F37;1.005288084;3
370;F37;1.13969352;3
371;F37;0.972493956;3
372;F37;1.253150588;3
373;F37;1.055992995;3
374;F37;1.080330139;6
375;F37;1.409523028;6
376;F37;1.267012868;6
377;F37;1.071999124;6
378;F37;1.51058854;6
379;F37;1.204887297;6
380;F38;1.080153127;3
381;F38;1.328141916;3
382;F38;1.223593237;3
383;F38;0.929429907;3
384;F38;1.246467946;3
385;F38;1.263761108;3
386;F38;1.198019758;6
387;F38;1.153674182;6
388;F38;1.150983606;6
389;F38;1.2097083;6
390;F38;1.222510431;6
391;F38;0.968250448;6
392;F39;1.356773424;3
393;F39;1.298338704;3
394;F39;0.963004487;3
395;F39;0.998294223;3
396;F39;0.934633297;3
397;F39;1.276443092;3
398;F39;1.296855703;6
399;F39;1.393552491;6
400;F39;1.295743989;6
401;F39;1.612651557;6
402;F39;1.230533475;6
403;F39;1.382860217;6
404;F40;1.248939848;3
405;F40;1.285806747;3
406;F40;1.050942513;3
407;F40;1.210286152;3
408;F40;0.82151226;3
409;F40;1.250874403;3
410;F40;1.294065483;6
411;F40;1.393552491;6
412;F40;1.294921111;6
413;F40;1.614401817;6
414;F40;1.223593237;6
415;F40;1.355326977;6
416;F41;0.895173756;3
417;F41;0.90299623;3
418;F41;1.118526642;3
419;F41;1.107605908;3
420;F41;1.344789568;3
421;F41;1.314520525;3
422;F41;1.106385279;6
423;F41;1.3015884;6
424;F41;1.028638609;6
425;F41;1.279346805;6
426;F41;1.087355347;6
427;F42;1.066442004;3
428;F42;0.656496093;3
429;F42;0.988277907;3
430;F42;0.888949866;3
431;F42;1.562839982;3
432;F42;1.146967012;3
433;F42;0.872442604;6
434;F42;1.115856789;6
435;F42;1.368568438;6
436;F42;1.502627104;6
437;F42;1.229567997;6
438;F42;1.273270501;6
439;F43;1.160954339;3
440;F43;0.99628152;3
441;F43;1.08400733;3
442;F43;1.447573685;3
443;F43;1.326214617;3
444;F43;1.154148541;3
445;F43;1.516763354;6
446;F43;1.347002311;6
447;F43;1.24445378;6
448;F43;1.162830865;6
449;F43;0.927208578;6
450;F43;1.190659606;6
451;F44;0.846591373;3
452;F44;1.218333259;3
453;F44;0.952150886;3
454;F44;0.906630033;3
455;F44;0.822442178;3
456;F44;0.962826604;3
457;F44;1.396921808;6
458;F44;1.01027964;6
459;F44;1.226643619;6
460;F44;0.955728356;6
461;F45;1.106691203;6
462;F45;1.317138735;6
463;F45;1.444470075;6
464;F45;1.442902959;6
465;F45;1.446914166;6
466;F45;1.3330354;6
467;F45;1.003774652;4
468;F45;1.39675451;4
469;F45;1.152423325;4
470;F45;1.628583834;4
471;F45;1.356195969;4
472;F45;1.387030535;4
473;F46;1.02587608;6
474;F46;1.184434447;6
475;F46;1.164408776;6
476;F46;1.270115416;6
477;F46;1.301873624;6
478;F46;1.298859669;6
479;F46;1.252394647;4
480;F46;1.656215547;4
481;F46;1.132791282;4
482;F46;1.530270478;4
483;F46;1.334511841;4
484;F46;1.240861556;4
485;F47;0.996136807;7
486;F47;1.255969834;7
487;F47;1.261599204;7
488;F47;1.112111945;4
489;F47;1.132525763;4
490;F47;1.281051152;4
491;F47;1.134967517;4
492;F47;1.467470105;4
493;F47;1.133321188;4
494;F48;1.45921536;6
495;F48;0.834834896;6
496;F48;0.775732979;6
497;F48;0.923814776;6
498;F48;1.140904288;7
499;F48;1.177480324;7
500;F49;1.088795367;6
501;F49;1.426699053;6
502;F49;1.648057952;6
503;F49;1.229970839;7
504;F50;0.878777648;6
505;F50;0.889814276;6
506;F50;0.833559562;6
507;F50;0.884846984;6
508;F50;1.154266946;6
509;F50;1.246986927;6
510;F50;1.104616174;7
511;F50;1.212756397;7
